agency,borough,office,person,title,email,form_url,phone,role,boards,source_url,evidence,notes
Borough President,Manhattan,Borough President,Brad Hoylman-Sigal,Manhattan Borough President,info@manhattanbp.nyc.gov,,212-669-8300,head,,https://www.manhattanbp.nyc.gov/about-mbpo/our-team/,Office Leadership Brad Hoylman-Sigal Manhattan Borough President,"General Inquiries email/phone shown site-wide (also on this page's footer); Constituent Services line is 212-531-1609, same info@manhattanbp.nyc.gov inbox. Email uses Cloudflare email-protection obfuscation on the page; decoded from the page's data-cfemail attribute, which is what a browser displays as plaintext to visitors."
Borough President,Manhattan,Community Affairs,Marielle Ali,Director of Community Affairs,,,,borough,,https://www.manhattanbp.nyc.gov/about-mbpo/our-team/,Marielle Ali Director of Community Affairs,"Community Affairs team includes per-community-board liaisons (e.g. Porfirio Figueroa, Deputy Director of Community Affairs, CBs 11 & 12); no office-specific email published beyond general info@manhattanbp.nyc.gov."
Borough President,Manhattan,Budget and Capital Projects,Caroline Wekselbaum,Director of Budget and Capital Projects,budget@manhattanbp.nyc.gov,,,borough,,https://www.manhattanbp.nyc.gov/budget-funding/,Contact our Budget Team (general): budget@manhattanbp.nyc.gov,Page also lists Caroline Wekselbaum (Budget Director) at cwekselbaum@manhattanbp.nyc.gov and Maytee Cariño (Budget Analyst) at mcarino@manhattanbp.nyc.gov; her title on the Our Team page is 'Director of Budget and Capital Projects'. Handles Manhattan's discretionary capital (Reso A-style) budget process.
Borough President,Bronx,Borough President,Vanessa L. Gibson,Bronx Borough President,webmail@bronxbp.nyc.gov,https://bronxboropres.nyc.gov/contact/,(718) 590-3500,head,,https://bronxboropres.nyc.gov/about_us/borough_president.php,"Vanessa L. Gibson was elected as the 14th Bronx Borough President on November 2, 2021, and re-elected on November 4, 2025","webmail@bronxbp.nyc.gov and (718) 590-3500 appear in the site's global footer, including on this page. Contact page has a working web form (Revize CMS) at /contact/."
Borough President,Bronx,Community Boards,Ciara Gannon,Director of Community Boards,cgannon@bronxbp.nyc.gov,,,borough,,https://bronxboropres.nyc.gov/community/community_boards.php,Ciara Gannon Director of Community Boards,"Community board membership applications: cbapplications@bronxbp.nyc.gov (""If you have any questions, please email cbapplications@bronxbp.nyc.gov""). No phone published for Gannon specifically."
Borough President,Bronx,Capital Programs,Betty McCray,Director of Capital Programs,bmccray@bronxbp.nyc.gov,,(718) 590-6033,borough,,https://bronxboropres.nyc.gov/services/budget.php,"Betty McCray, Director of Capital Programs, bmccray@bronxbp.nyc.gov","Page is titled 'Fiscal Year 2027 Capital Budget Process' and describes the Borough President's discretionary capital allocation (Reso A-equivalent) under NYC Charter Sections 211 and 249. Additional capital-budget staff on same page: Nelson Palacios (npalacios@bronxbp.nyc.gov), Juton Horstman, Director of Planning & Development (jhorstman@bronxbp.nyc.gov)."
Borough President,Brooklyn,Borough President,Antonio Reynoso,Brooklyn Borough President,AskReynoso@brooklynbp.nyc.gov,,(718) 802-3700,head,,https://www.brooklynbp.nyc.gov/about-bkbpreynoso/,Antonio Reynoso is Brooklyn’s 20th Borough President.,"General email/phone (AskReynoso@brooklynbp.nyc.gov, (718) 802-3700) appear together in the site footer/contact blocks. Email uses Cloudflare email-protection obfuscation; decoded from the page's data-cfemail attribute (displays as plaintext to visitors). 2026 State of the Borough address confirms he remains in office."
Borough President,Brooklyn,Community Boards,,,CBApplications@brooklynbp.nyc.gov,,,borough,,https://www.brooklynbp.nyc.gov/community-boards/,Who can I talk to for answers? Reach us at CBApplications@brooklynbp.nyc.gov,No individual staff name published for this inbox. Email uses Cloudflare email-protection obfuscation; decoded from data-cfemail.
Borough President,Brooklyn,Budget,,,Funding@brooklynbp.nyc.gov,,,borough,,https://www.brooklynbp.nyc.gov/departments/budget/,Have questions? Contact our budget team by emailing Funding@brooklynbp.nyc.gov,Handles Brooklyn BP discretionary capital/programmatic funding (Reso A-style) applications. No individual staff name published for this inbox. Email uses Cloudflare email-protection obfuscation; decoded from data-cfemail.
Borough President,Queens,Borough President,Donovan Richards Jr.,Queens Borough President,info@queensbp.nyc.gov,,718-286-3000,head,,https://www.queensbp.nyc.gov/contact/,We can also be reached at 718-286-3000 or info@queensbp.nyc.gov,"Site's About page bio text says he 'was elected Borough President of Queens in November 2020' and does not explicitly mention a 2025 re-election, but the site (contact/staff directory, budget page, page titles) consistently shows him as the current Borough President as of this September 2026 research. Email uses Cloudflare email-protection obfuscation; decoded from data-cfemail."
Borough President,Queens,Community Boards,Michael Carlier,Director of Community Boards,Mcarlier@queensbp.nyc.gov,,718-286-2618,borough,,https://www.queensbp.nyc.gov/contact/,"Michael Carlier, Director of Community Boards, 718-286-2618",Email uses Cloudflare email-protection obfuscation; decoded from data-cfemail.
Borough President,Queens,Budget,Fanny Lin,Director of Budget,Flin@queensbp.nyc.gov,,718-286-2662,borough,,https://www.queensbp.nyc.gov/budget/,"Contact: Fanny Lin, Director of Budget, 718-286-2662","Page describes Borough President Richards's discretionary capital funding process (Reso A-equivalent) for nonprofits, schools and city agencies. Contact page lists the same person as “Fanny Lin, Director of Fiscal.” Email uses Cloudflare email-protection obfuscation; decoded from data-cfemail."
